Date,Sleep,Wake,Hours,Rolling Average,Rolling Average
8/17/2020,11:45,7:45,8,,
8/18/2020,11:45,7:45,8,,
8/19/2020,12:00,8:00,8,,
8/20/2020,12:00,8:00,8,,
8/21/2020,11:00,8:45,9.25,,
8/22/2020,12:45,8:00,8:00,,
8/23/2020,12:00,10:30,10.5,7.44047619,
8/24/2020,1:00,8:00,7,7.297619048,
8/25/2020,12:15,8:00,7.75,7.261904762,
8/26/2020,11:15,8:00,8.75,7.369047619,
8/27/2020,11:30,8:00,8.5,7.44047619,
8/28/2020,12:20,7:40,7.2,3:32,
8/29/2020,12:00,9:45,9.75,8.492857143,
8/30/2020,1:45,10:15,8.5,8.207142857,
8/31/2020,12:15,8:00,7.75,8.314285714,
9/1/2020,12:15,8:00,7.75,8.314285714,
9/2/2020,12:40,8:10,7.5,8.135714286,
9/3/2020,1:00,8:15,7.25,7.957142857,
9/4/2020,1:00,8:00,7,7.928571429,
9/5/2020,1:15,9:30,8.25,7.714285714,
9/6/2020,12:30,9:45,9.25,7.821428571,
9/7/2020,2:00,10:00,8,7.857142857,
9/8/2020,12:30,8:00,7.5,7.821428571,
9/9/2020,12:30,8:00,7.5,7.821428571,
9/10/2020,12:45,8:00,7.25,7.821428571,
9/11/2020,11:00,8:00,9,8.107142857,
9/12/2020,3:00,9:00,6,7.785714286,
9/13/2020,2:30,8:30,6,7.321428571,
9/14/2020,12:30,8:20,7.83,7.297142857,
9/15/2020,11:45,8:00,8.25,7.404285714,
9/16/2020,12:30,8:00,7.5,7.404285714,
9/17/2020,1:00,8,7,7.368571429,
9/18/2020,1:00,8:15,7.25,7.118571429,
9/19/2020,2:00,11:00,9,7.547142857,
9/20/2020,2:30,10:20,8,7.832857143,
9/21/2020,12:15,8:15,8,7.857142857,
9/22/2020,12:45,8:15,7.5,7.75,
9/23/2020,12:15,8:15,8,7.821428571,
9/24/2020,12:45,8:15,7.5,7.892857143,
9/25/2020,12:15,8:30,8.25,8.035714286,
